asn,ip,bgp_prefix,country,registry,allocated,as_name
278,2001:1218:1000:f0::d0,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::d1,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::d4,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::e,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::e8,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::e9,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::ea,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::ec,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::ed,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::ee,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::f0,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::f2,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::f8,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:1000:f0::fa,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:10d:10::2,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:122::10,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:133::,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:133::2,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:135::1,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:135::13,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:135::14,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:135::37,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:101:145::1,2001:1218:101::/48,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300:1::184,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::1,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::133,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::155,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::170,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::171,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:1300::172,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:130::,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::11,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::12,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::15,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::171,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::172,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::175,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::176,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::1d,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::1e,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::1fa,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::21,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
278,2001:1218:2000:2e0::230,2001:1218::/32,MX,lacnic,2005-06-29,"AS278 - Universidad Nacional Autonoma de Mexico, MX"
